iter	RMSE
0	11394.87725
1	10541.67374
2	9792.243018
3	9110.820511
4	8502.895043
5	7973.331717
6	7497.527736
7	7074.542406
8	6694.553441
9	6354.705677
10	6055.743648
11	5785.67393
12	5561.215036
13	5360.035695
14	5171.815789
15	5005.304431
16	4854.43132
17	4722.58311
18	4601.189118
19	4495.777689
20	4398.096515
21	4317.141431
22	4245.755804
23	4177.670622
24	4119.976752
25	4073.605517
26	4021.789606
27	3969.192085
28	3914.98274
29	3875.87192
30	3838.536122
31	3800.31138
32	3773.747484
33	3734.320795
34	3698.438611
35	3661.495826
36	3639.102536
37	3624.422104
38	3591.092099
39	3565.60549
40	3531.859226
41	3509.149045
42	3483.278308
43	3468.775141
44	3453.375432
45	3431.378636
46	3413.151558
47	3392.289732
48	3366.346473
49	3355.345475
50	3339.961197
51	3324.29571
52	3302.469109
53	3285.686271
54	3277.916174
55	3265.939364
56	3248.752361
57	3234.677652
58	3218.496745
59	3202.973361
60	3178.658554
61	3169.008149
62	3158.352268
63	3134.098304
64	3109.983138
65	3094.278389
66	3077.462695
67	3060.879839
68	3046.901191
69	3037.788028
70	3024.709539
71	3012.514753
72	3001.190307
73	2992.206441
74	2971.898922
75	2958.474991
76	2952.49052
77	2946.016546
78	2925.691891
79	2908.508027
80	2900.11149
81	2881.63501
82	2870.916027
83	2863.670332
84	2850.639511
85	2834.432917
86	2829.306475
87	2811.969578
88	2800.1795
89	2788.992656
90	2780.296684
91	2769.210039
92	2761.880413
93	2748.540404
94	2736.445417
95	2729.677404
96	2719.189847
97	2708.727212
98	2701.481784
99	2697.202198
100	2685.377757
101	2679.232471
102	2665.761456
103	2655.961801
104	2647.992535
105	2641.509874
106	2627.907367
107	2619.022216
108	2614.095123
109	2600.466292
110	2589.671347
111	2577.964092
112	2572.416934
113	2565.57704
114	2553.246213
115	2547.919947
116	2544.808115
117	2531.128366
118	2527.011601
119	2514.460733
120	2504.064563
121	2496.240485
122	2486.164946
123	2477.679483
124	2470.117799
125	2460.517081
126	2455.556696
127	2450.524798
128	2440.885399
129	2428.611219
130	2424.545719
131	2420.717906
132	2416.495174
133	2409.257086
134	2399.048832
135	2395.272829
136	2389.136904
137	2380.758923
138	2369.023645
139	2361.239539
140	2356.97637
141	2350.492022
142	2341.814314
143	2335.015157
144	2323.639103
145	2317.610455
146	2310.929509
147	2303.855358
148	2294.259711
149	2289.873424
150	2286.766136
151	2279.688481
152	2272.946356
153	2262.702026
154	2258.967135
155	2255.277687
156	2246.563151
157	2236.626513
158	2232.438666
159	2225.812234
160	2221.923287
161	2215.174301
162	2212.563378
163	2208.793038
164	2200.931917
165	2194.302399
166	2189.786384
167	2184.582951
168	2176.10396
169	2172.523473
170	2167.622353
171	2164.14366
172	2160.890627
173	2159.00151
174	2151.356329
175	2149.016979
176	2140.505115
177	2134.648489
178	2128.507262
179	2123.82891
180	2115.990143
181	2113.198153
182	2107.792644
183	2102.036815
184	2099.271631
185	2090.780356
186	2087.442669
187	2080.297705
188	2074.287492
189	2068.51089
190	2063.913127
191	2058.856396
192	2056.12002
193	2053.866569
194	2047.578719
195	2044.330523
196	2037.481173
197	2031.287358
198	2026.244667
199	2023.063752
200	2019.465476
201	2013.97726
202	2011.593237
203	2006.667632
204	1998.992393
205	1994.885824
206	1990.690031
207	1985.788284
208	1983.728288
209	1977.080732
210	1969.483987
211	1964.554461
212	1961.406129
213	1955.169683
214	1950.895355
215	1948.255596
216	1944.727091
217	1941.363841
218	1936.15903
219	1932.499055
220	1925.678728
221	1924.031772
222	1919.6083
223	1913.862223
224	1911.028218
225	1909.188839
226	1906.517332
227	1903.782498
228	1900.770903
229	1896.593624
230	1891.969007
231	1886.762934
232	1882.781786
233	1878.563544
234	1873.553592
235	1871.411623
236	1868.0642
237	1864.927527
238	1860.60946
239	1858.666497
240	1854.725443
241	1850.32547
242	1845.841185
243	1843.288606
244	1838.490437
245	1836.150842
246	1832.481588
247	1828.973965
248	1825.394332
249	1823.008739
250	1820.296102
251	1818.853421
252	1815.340031
253	1814.212012
254	1810.067824
255	1805.369759
