iter	Passed	Remaining
0	186	186283
1	200	100102
2	214	71162
3	226	56339
4	240	47805
5	254	42097
6	267	37938
7	280	34810
8	294	32474
9	306	30362
10	320	28839
11	334	27562
12	348	26485
13	363	25578
14	377	24764
15	390	23988
16	407	23559
17	422	23055
18	435	22489
19	449	22031
20	464	21652
21	478	21266
22	491	20897
23	504	20502
24	518	20212
25	530	19865
26	544	19638
27	558	19386
28	573	19193
29	586	18966
30	602	18835
31	617	18687
32	632	18522
33	644	18313
34	658	18148
35	672	18019
36	689	17936
37	703	17813
38	719	17736
39	735	17663
40	751	17583
41	768	17532
42	785	17492
43	802	17441
44	821	17441
45	842	17463
46	860	17442
47	877	17408
48	897	17421
49	916	17422
50	967	18007
51	1018	18565
52	1053	18831
53	1078	18898
54	1111	19103
55	1150	19389
56	1175	19446
57	1205	19574
58	1235	19700
59	1264	19808
60	1292	19892
61	1321	19990
62	1351	20098
63	1381	20208
64	1409	20277
65	1439	20372
66	1468	20444
67	1500	20570
68	1533	20689
69	1569	20846
70	1606	21024
71	1641	21155
72	1674	21269
73	1710	21399
74	1742	21491
75	1774	21569
76	1804	21630
77	1841	21763
78	1873	21847
79	1908	21947
80	1949	22123
81	1981	22188
82	2019	22314
83	2054	22405
84	2094	22547
85	2128	22621
86	2164	22716
87	2202	22830
88	2239	22918
89	2273	22991
90	2308	23064
91	2344	23143
92	2378	23200
93	2415	23279
94	2447	23314
95	2473	23288
96	2501	23284
97	2529	23279
98	2557	23273
99	2585	23268
100	2615	23277
101	2639	23239
102	2668	23237
103	2694	23215
104	2723	23210
105	2750	23194
106	2778	23190
107	2810	23211
108	2836	23189
109	2864	23175
110	2891	23157
111	2922	23173
112	2947	23137
113	2973	23108
114	2999	23086
115	3028	23076
116	3057	23077
117	3088	23081
118	3118	23084
119	3142	23045
120	3169	23023
121	3196	23007
122	3222	22976
123	3251	22966
124	3278	22952
125	3303	22913
126	3330	22896
127	3363	22913
128	3391	22899
129	3421	22896
130	3447	22871
131	3477	22865
132	3503	22836
133	3530	22817
134	3557	22791
135	3580	22745
136	3606	22717
137	3632	22686
138	3657	22653
139	3683	22624
140	3707	22584
141	3734	22566
142	3758	22524
143	3784	22495
144	3814	22490
145	3840	22463
146	3869	22450
147	3904	22476
148	3929	22442
149	3953	22401
150	3979	22373
151	4007	22355
152	4037	22352
153	4064	22330
154	4091	22302
155	4120	22295
156	4145	22261
157	4171	22232
158	4194	22186
159	4220	22156
